"Id_SNVeg","n_total","n_sig","prop_sig","parque","escala","mes"
"WaterSurf",8869,0,0,"daimiel",9,2
"ArtSurf",247,0,0,"daimiel",9,3
"Crop",2273,0,0,"daimiel",9,3
"Dehesa",2601,0,0,"daimiel",9,3
"Grass",8172,0,0,"daimiel",9,3
"HaloVeg",2543,0,0,"daimiel",9,3
"HydroRipVeg",16350,0,0,"daimiel",9,3
"MedSclF",623,0,0,"daimiel",9,3
"Reforestation",25,0,0,"daimiel",9,3
"RipF",1501,0,0,"daimiel",9,3
"WaterSurf",8869,0,0,"daimiel",9,3
"ArtSurf",247,0,0,"daimiel",9,4
"Crop",2273,0,0,"daimiel",9,4
"Dehesa",2601,0,0,"daimiel",9,4
"Grass",8172,0,0,"daimiel",9,4
"HaloVeg",2543,0,0,"daimiel",9,4
"HydroRipVeg",16350,0,0,"daimiel",9,4
"MedSclF",623,0,0,"daimiel",9,4
"Reforestation",25,0,0,"daimiel",9,4
"RipF",1501,0,0,"daimiel",9,4
"WaterSurf",8869,0,0,"daimiel",9,4
"ArtSurf",247,0,0,"daimiel",9,5
"Crop",2273,0,0,"daimiel",9,5
"Dehesa",2601,0,0,"daimiel",9,5
"Grass",8172,2,0.02,"daimiel",9,5
"HaloVeg",2543,0,0,"daimiel",9,5
"HydroRipVeg",16350,0,0,"daimiel",9,5
"MedSclF",623,0,0,"daimiel",9,5
"Reforestation",25,0,0,"daimiel",9,5
"RipF",1501,0,0,"daimiel",9,5
"WaterSurf",8869,0,0,"daimiel",9,5
"ArtSurf",247,0,0,"daimiel",9,6
"Crop",2273,0,0,"daimiel",9,6
"Dehesa",2601,0,0,"daimiel",9,6
"Grass",8172,0,0,"daimiel",9,6
"HaloVeg",2543,0,0,"daimiel",9,6
"HydroRipVeg",16350,0,0,"daimiel",9,6
"MedSclF",623,0,0,"daimiel",9,6
"Reforestation",25,0,0,"daimiel",9,6
"RipF",1501,0,0,"daimiel",9,6
"WaterSurf",8869,0,0,"daimiel",9,6
"ArtSurf",247,0,0,"daimiel",9,7
"Crop",2273,0,0,"daimiel",9,7
"Dehesa",2601,0,0,"daimiel",9,7
"Grass",8172,0,0,"daimiel",9,7
"HaloVeg",2543,0,0,"daimiel",9,7
"HydroRipVeg",16350,0,0,"daimiel",9,7
"MedSclF",623,0,0,"daimiel",9,7
"Reforestation",25,0,0,"daimiel",9,7
"RipF",1501,0,0,"daimiel",9,7
"WaterSurf",8869,0,0,"daimiel",9,7
"ArtSurf",247,0,0,"daimiel",9,8
"Crop",2273,0,0,"daimiel",9,8
"Dehesa",2601,0,0,"daimiel",9,8
"Grass",8172,0,0,"daimiel",9,8
"HaloVeg",2543,0,0,"daimiel",9,8
"HydroRipVeg",16350,0,0,"daimiel",9,8
"MedSclF",623,0,0,"daimiel",9,8
"Reforestation",25,0,0,"daimiel",9,8
"RipF",1501,0,0,"daimiel",9,8
"WaterSurf",8869,0,0,"daimiel",9,8
"ArtSurf",247,0,0,"daimiel",9,9
"Crop",2273,0,0,"daimiel",9,9
"Dehesa",2601,0,0,"daimiel",9,9
"Grass",8172,0,0,"daimiel",9,9
"HaloVeg",2543,0,0,"daimiel",9,9
"HydroRipVeg",16350,0,0,"daimiel",9,9
"MedSclF",623,0,0,"daimiel",9,9
"Reforestation",25,0,0,"daimiel",9,9
"RipF",1501,0,0,"daimiel",9,9
"WaterSurf",8869,0,0,"daimiel",9,9
"ArtSurf",247,0,0,"daimiel",9,10
"Crop",2273,0,0,"daimiel",9,10
"Dehesa",2601,0,0,"daimiel",9,10
"Grass",8172,0,0,"daimiel",9,10
"HaloVeg",2543,0,0,"daimiel",9,10
"HydroRipVeg",16350,0,0,"daimiel",9,10
"MedSclF",623,0,0,"daimiel",9,10
"Reforestation",25,0,0,"daimiel",9,10
"RipF",1501,0,0,"daimiel",9,10
"WaterSurf",8869,0,0,"daimiel",9,10
"ArtSurf",247,0,0,"daimiel",9,11
"Crop",2273,0,0,"daimiel",9,11
"Dehesa",2601,0,0,"daimiel",9,11
"Grass",8172,0,0,"daimiel",9,11
"HaloVeg",2543,0,0,"daimiel",9,11
"HydroRipVeg",16350,0,0,"daimiel",9,11
"MedSclF",623,0,0,"daimiel",9,11
"Reforestation",25,0,0,"daimiel",9,11
"RipF",1501,0,0,"daimiel",9,11
"WaterSurf",8869,0,0,"daimiel",9,11
"ArtSurf",247,0,0,"daimiel",9,12
"Crop",2273,0,0,"daimiel",9,12
"Dehesa",2601,0,0,"daimiel",9,12
"Grass",8172,0,0,"daimiel",9,12
"HaloVeg",2543,0,0,"daimiel",9,12
"HydroRipVeg",16350,0,0,"daimiel",9,12
"MedSclF",623,0,0,"daimiel",9,12
"Reforestation",25,0,0,"daimiel",9,12
"RipF",1501,0,0,"daimiel",9,12
"WaterSurf",8869,0,0,"daimiel",9,12
"ArtSurf",247,0,0,"daimiel",12,1
"Crop",2273,0,0,"daimiel",12,1
"Dehesa",2601,0,0,"daimiel",12,1
"Grass",8172,0,0,"daimiel",12,1
"HaloVeg",2543,0,0,"daimiel",12,1
"HydroRipVeg",16350,0,0,"daimiel",12,1
"MedSclF",623,0,0,"daimiel",12,1
"Reforestation",25,0,0,"daimiel",12,1
"RipF",1501,0,0,"daimiel",12,1
"WaterSurf",8869,0,0,"daimiel",12,1
"ArtSurf",247,0,0,"daimiel",12,2
"Crop",2273,0,0,"daimiel",12,2
"Dehesa",2601,0,0,"daimiel",12,2
"Grass",8172,0,0,"daimiel",12,2
"HaloVeg",2543,0,0,"daimiel",12,2
"HydroRipVeg",16350,0,0,"daimiel",12,2
"MedSclF",623,0,0,"daimiel",12,2
"Reforestation",25,0,0,"daimiel",12,2
"RipF",1501,0,0,"daimiel",12,2
